"","sub","rr","pu","lambda","omega","offset","model"
"216","a39zpu2zr3xl47k","75","low",5,0.5,0,"value_alt"
"217","ajztaxb5eyxtfch","25","high",1.63237311385437,0.166666666666667,0.0508675207874101,"value_alt"
"218","ajztaxb5eyxtfch","25","low",5,0.5,0,"value_alt"
"219","ajztaxb5eyxtfch","50","high",5,0.5,0,"value_alt"
"220","ajztaxb5eyxtfch","50","low",1.65177749638938,0.166666666666667,0.0443911164045103,"value_alt"
"221","ajztaxb5eyxtfch","75","high",3.18497673725253,0.166666666666667,0.0109917883472139,"value_alt"
"222","ajztaxb5eyxtfch","75","low",5,0.5,0,"value_alt"
"223","as5hvtlqa9ouc2z","25","high",1.60493827158767,0.166666666666667,0.0933890878150048,"value_alt"
"224","as5hvtlqa9ouc2z","25","low",1.19751966801728,0.166666666666667,0.0454596091328561,"value_alt"
"225","as5hvtlqa9ouc2z","50","high",3.33451309798951,0.166666666666667,-0.0168606880899667,"value_alt"
"226","as5hvtlqa9ouc2z","50","low",3.41602089351552,0.166666666666667,-0.00603040899066609,"value_alt"
"227","as5hvtlqa9ouc2z","75","high",5,0.5,0,"value_alt"
"228","as5hvtlqa9ouc2z","75","low",3.38145700040958,0.166666666666667,-0.141191897763515,"value_alt"
"229","au7m9jjmgy8d4gj","25","high",1.27572016463856,0.5,-0.111111111111187,"value_alt"
"230","au7m9jjmgy8d4gj","25","low",5,0.5,0,"value_alt"
"231","au7m9jjmgy8d4gj","50","high",0.655017021555215,0.5,0.015495605334092,"value_alt"
"232","au7m9jjmgy8d4gj","50","low",1.16474752320082,0.5,0.0491791691940631,"value_alt"
"233","au7m9jjmgy8d4gj","75","high",0.969364425959811,0.5,0.0370370370404494,"value_alt"
"234","au7m9jjmgy8d4gj","75","low",0.498721889537484,0.5,0.0104264387524393,"value_alt"
"235","b3jqszmpuje1kzj","25","high",1.4546267549203,0.166666666666667,0.0386764213548707,"value_alt"
"236","b3jqszmpuje1kzj","25","low",3.33333333333341,0.166666666666667,-0.00775693788118936,"value_alt"
"237","b3jqszmpuje1kzj","50","high",3.19199420297051,0.166666666666667,-0.00283451709751981,"value_alt"
"238","b3jqszmpuje1kzj","50","low",3.07830972722461,0.166666666666667,-0.0269715930738442,"value_alt"
"239","b3jqszmpuje1kzj","75","high",5.14403292181223,0.166666666666667,-0.0208665156676927,"value_alt"
"240","b3jqszmpuje1kzj","75","low",5,0.5,0,"value_alt"
"241","bdov3ye1qvundbp","25","high",2.06418116443788,0.166666666666667,0.0894320537600684,"value_alt"
"242","bdov3ye1qvundbp","25","low",1.1528033777618,0.166666666666667,0.0335988889838923,"value_alt"
"243","bdov3ye1qvundbp","50","high",2.41355127409225,0.166666666666667,-0.172493830655978,"value_alt"
"244","bdov3ye1qvundbp","50","low",5,0.5,0,"value_alt"
"245","bdov3ye1qvundbp","75","high",3.08110107465041,0.166666666666667,-0.444865614735179,"value_alt"
"246","bdov3ye1qvundbp","75","low",3.3006856054438,0.166666666666667,-0.40880852845137,"value_alt"
