,subject,condition,pu,step
406,dho9tnp5jdyv2kn,4.0,0.0,19.0
407,dho9tnp5jdyv2kn,5.0,1.0,11.75
408,djb1vpwld9c7hmk,0.0,1.0,13.25
409,djb1vpwld9c7hmk,1.0,0.0,17.5
410,djb1vpwld9c7hmk,2.0,0.0,14.5
411,djb1vpwld9c7hmk,3.0,1.0,13.0
412,djb1vpwld9c7hmk,4.0,1.0,12.5
413,djb1vpwld9c7hmk,5.0,0.0,17.5
414,ds2ot3x1v6q63xg,0.0,1.0,14.25
415,ds2ot3x1v6q63xg,1.0,0.0,17.25
416,ds2ot3x1v6q63xg,2.0,1.0,9.75
417,ds2ot3x1v6q63xg,3.0,0.0,17.25
418,ds2ot3x1v6q63xg,4.0,0.0,16.75
419,ds2ot3x1v6q63xg,5.0,1.0,4.95
420,dtua0nm03dd9yb7,0.0,0.0,15.75
421,dtua0nm03dd9yb7,1.0,1.0,11.25
422,dtua0nm03dd9yb7,2.0,0.0,19.5
423,dtua0nm03dd9yb7,3.0,1.0,13.0
424,dtua0nm03dd9yb7,4.0,0.0,22.0
425,dtua0nm03dd9yb7,5.0,1.0,13.5
426,duzv7z4jux5olpv,0.0,1.0,14.25
427,duzv7z4jux5olpv,1.0,0.0,17.25
428,duzv7z4jux5olpv,2.0,0.0,20.5
429,duzv7z4jux5olpv,3.0,1.0,14.25
430,duzv7z4jux5olpv,4.0,1.0,18.0
431,duzv7z4jux5olpv,5.0,0.0,22.25
432,dvywvnh6comawyk,0.0,0.0,23.0
433,dvywvnh6comawyk,1.0,1.0,13.0
434,dvywvnh6comawyk,2.0,1.0,10.5
435,dvywvnh6comawyk,3.0,0.0,15.75
436,dvywvnh6comawyk,4.0,0.0,17.25
437,dvywvnh6comawyk,5.0,1.0,4.35
438,dybr695ge3z1q36,0.0,0.0,25.75
439,dybr695ge3z1q36,1.0,1.0,18.25
440,dybr695ge3z1q36,2.0,1.0,18.5
441,dybr695ge3z1q36,3.0,0.0,21.5
442,dybr695ge3z1q36,4.0,0.0,19.75
443,dybr695ge3z1q36,5.0,1.0,13.75
444,e3u4ad1k1wpdvk5,0.0,0.0,18.0
445,e3u4ad1k1wpdvk5,1.0,1.0,17.25
446,e3u4ad1k1wpdvk5,2.0,0.0,17.75
447,e3u4ad1k1wpdvk5,3.0,1.0,11.25
448,e3u4ad1k1wpdvk5,4.0,0.0,18.0
