"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"124","6be4c2orpqft8ul","value_alt_offset",2,2,0.166666666666667,2.59259259259267,-0.026944480774984,"value_alt_offset"
"125","6be4c2orpqft8ul","value_alt_offset",3,1,0.166666666666667,2.67032464562739,-0.0924626521976988,"value_alt_offset"
"126","6be4c2orpqft8ul","value_alt_offset",3,2,0.166666666666667,2.37959264204016,-0.0447890920673979,"value_alt_offset"
"127","6wyn194o3vd7jmv","value_alt_offset",1,1,0.5,0.65109767595959,-0.00137299686427517,"perc_offset"
"128","6wyn194o3vd7jmv","value_alt_offset",1,2,0.5,1.72687090381972,-0.0595599389223169,"perc_offset"
"129","6wyn194o3vd7jmv","value_alt_offset",2,1,0.5,0.817964741143614,-0.012345679012331,"perc_offset"
"130","6wyn194o3vd7jmv","value_alt_offset",2,2,0.5,1.48148148148149,-0.114769090077904,"value_alt_offset"
"131","6wyn194o3vd7jmv","value_alt_offset",3,1,0.5,0.919180115966605,-0.0644718792870875,"value_alt_offset"
"132","6wyn194o3vd7jmv","value_alt_offset",3,2,0.5,1.53635116598825,-0.259259259259313,"value_alt_offset"
"133","70kcrqfjf2xhh4m","value_alt_offset",1,1,0.166666666666667,0.943091899819475,0.140833341418864,"value_alt_offset"
"134","70kcrqfjf2xhh4m","value_alt_offset",1,2,0.166666666666667,1.04840571844694,0.126111115217569,"value_alt_offset"
"135","70kcrqfjf2xhh4m","value_alt_offset",2,1,0.166666666666667,2.33636095845352,0.0111111108529933,"value_alt_offset"
"136","70kcrqfjf2xhh4m","value_alt_offset",2,2,0.166666666666667,1.91140640732755,0.0430555539817554,"value_alt_offset"
"137","70kcrqfjf2xhh4m","value_alt_offset",3,1,0.166666666666667,2.38076600490485,-0.0639675899728966,"value_alt_offset"
"138","70kcrqfjf2xhh4m","value_alt_offset",3,2,0.166666666666667,2.76634659350687,-0.0425240054863129,"value_alt_offset"
"139","7bwng7h1w9q6djl","value_alt_offset",1,1,0.166666666666667,1.04474356772827,0.0822222440581448,"value_alt_offset"
"140","7bwng7h1w9q6djl","value_alt_offset",1,2,0.166666666666667,2.13656516670874,0.0200000036270283,"value_alt_offset"
"141","7bwng7h1w9q6djl","value_alt_offset",2,1,0.166666666666667,2.81163094345276,0.00833333313974438,"value_alt_offset"
"142","7bwng7h1w9q6djl","value_alt_offset",2,2,0.166666666666667,3.44248689180696,-0.0119444482968769,"value_alt_offset"
"143","7bwng7h1w9q6djl","value_alt_offset",3,1,0.166666666666667,2.78027328242216,-0.153616986999937,"value_alt_offset"
"144","7bwng7h1w9q6djl","value_alt_offset",3,2,0.166666666666667,2.03576690545206,0.0489254686765881,"value_alt_offset"
"145","7pjw0pz87exlgmd","value_alt_offset",1,1,0.166666666666667,1.12115976653986,0.171111105071162,"value_alt_offset"
"146","7pjw0pz87exlgmd","value_alt_offset",1,2,0.166666666666667,1.16755434429282,0.0844444445476913,"value_alt_offset"
"147","7pjw0pz87exlgmd","value_alt_offset",2,1,0.166666666666667,1.36139471156504,0.0269949475433595,"value_alt_offset"
"148","7pjw0pz87exlgmd","value_alt_offset",2,2,0.166666666666667,2.6240644835136,0.0155555582916018,"value_alt_offset"
"149","7pjw0pz87exlgmd","value_alt_offset",3,1,0.166666666666667,2.01646090535001,0.0123456790123408,"value_alt_offset"
"150","7pjw0pz87exlgmd","value_alt_offset",3,2,0.166666666666667,3.38792146185238,0.0328122346673307,"value_alt_offset"
"151","85aq8xl8ayntz3l","value_alt_offset",1,1,0.166666666666667,1.39018167670085,0.169722242026286,"value_alt_offset"
"152","85aq8xl8ayntz3l","value_alt_offset",1,2,0.166666666666667,3.66386524539233,0.0011111113019906,"value_alt_offset"
"153","85aq8xl8ayntz3l","value_alt_offset",2,1,0.166666666666667,3.10308834750348,0.0299999988442075,"value_alt_offset"
"154","85aq8xl8ayntz3l","value_alt_offset",2,2,0.166666666666667,4.89459406211219,-0.0577777805654466,"value_alt_offset"
"155","85aq8xl8ayntz3l","value_alt_offset",3,1,0.166666666666667,7.50064274048586,-0.0286111145763384,"perc_offset"
"156","85aq8xl8ayntz3l","value_alt_offset",3,2,0.5,4.15790275873175,-0.0986335082834676,"value_alt_offset"
"157","8epzoljwn0gbtge","value_alt_offset",1,1,0.166666666666667,0.985596440667339,0.455555530059284,"value_alt_offset"
"158","8epzoljwn0gbtge","value_alt_offset",1,2,0.388888888888889,1.81202547620025,0.349999990148516,"value_alt_offset"
"159","8epzoljwn0gbtge","value_alt_offset",2,1,0.166666666666667,2.1116925492852,-0.00684812624804942,"value_alt_offset"
"160","8epzoljwn0gbtge","value_alt_offset",2,2,0.388888888888889,2.45842788918683,0.423888887301466,"value_alt_offset"
"161","8epzoljwn0gbtge","value_alt_offset",3,1,0.166666666666667,2.89437585733904,-0.0809327846366206,"value_alt_offset"
"162","8epzoljwn0gbtge","value_alt_offset",3,2,0.388888888888889,4.95023926058161,-0.300277780785056,"value_alt_offset"
"163","8es63ovt8uw2mgg","value_alt_offset",1,1,0.5,1.11111111111128,0.0781893004113918,"perc_offset"
"164","8es63ovt8uw2mgg","value_alt_offset",1,2,0.5,1.06995884773597,0.144032921810744,"perc_offset"
