"","sub","model","rr","pu","rho","bestfit"
"271","cl4vc26ycu0woo2","perc_offset",1,1,0.187242798353909,"value_alt_offset"
"272","cl4vc26ycu0woo2","perc_offset",1,2,0.203551287913428,"value_alt_offset"
"273","cl4vc26ycu0woo2","perc_offset",2,1,0.0541330081800409,"value_alt_offset"
"274","cl4vc26ycu0woo2","perc_offset",2,2,0.425925925925926,"value_alt_offset"
"275","cl4vc26ycu0woo2","perc_offset",3,1,0.278235025148605,"perc_offset"
"276","cl4vc26ycu0woo2","perc_offset",3,2,0.141975308641975,"value_alt_offset"
"277","djb1vpwld9c7hmk","perc_offset",1,1,0.224279835390947,"value_alt_offset"
"278","djb1vpwld9c7hmk","perc_offset",1,2,0.162551440329218,"value_alt_offset"
"279","djb1vpwld9c7hmk","perc_offset",2,1,0.133744855967078,"value_alt_offset"
"280","djb1vpwld9c7hmk","perc_offset",2,2,0.104938271604938,"value_alt_offset"
"281","djb1vpwld9c7hmk","perc_offset",3,1,0.277777777777778,"value_alt_offset"
"282","djb1vpwld9c7hmk","perc_offset",3,2,0.179012345679012,"value_alt_offset"
"283","ds2ot3x1v6q63xg","perc_offset",1,1,0.438271604938272,"value_alt_offset"
"284","ds2ot3x1v6q63xg","perc_offset",1,2,0.425925925925926,"value_alt_offset"
"285","ds2ot3x1v6q63xg","perc_offset",2,1,0.314809169785545,"value_alt_offset"
"286","ds2ot3x1v6q63xg","perc_offset",2,2,0.364197530864198,"value_alt_offset"
"287","ds2ot3x1v6q63xg","perc_offset",3,1,0.327162375503584,"perc_offset"
"288","ds2ot3x1v6q63xg","perc_offset",3,2,0.314814814814815,"perc_offset"
"289","dtua0nm03dd9yb7","perc_offset",1,1,0.00617093459917658,"value_alt_offset"
"290","dtua0nm03dd9yb7","perc_offset",1,2,0.16803840877915,"perc_offset"
"291","dtua0nm03dd9yb7","perc_offset",2,1,0.0889346136259717,"perc_offset"
"292","dtua0nm03dd9yb7","perc_offset",2,2,0.524691358024691,"value_alt_offset"
"293","dtua0nm03dd9yb7","perc_offset",3,1,0.0939643347049443,"value_alt_offset"
"294","dtua0nm03dd9yb7","perc_offset",3,2,0.368312757201646,"value_alt_offset"
"295","duzv7z4jux5olpv","perc_offset",1,1,0.392987180138529,"value_alt_offset"
"296","duzv7z4jux5olpv","perc_offset",1,2,0.993827160493827,"value_alt_offset"
"297","duzv7z4jux5olpv","perc_offset",2,1,0.833333341076858,"value_alt_offset"
"298","duzv7z4jux5olpv","perc_offset",2,2,0.364197530864198,"value_alt_offset"
"299","duzv7z4jux5olpv","perc_offset",3,1,0.932098765432099,"value_alt_offset"
"300","duzv7z4jux5olpv","perc_offset",3,2,0.524691358024691,"value_alt_offset"
"301","dvywvnh6comawyk","perc_offset",1,1,0.458390489254687,"value_alt_offset"
"302","dvywvnh6comawyk","perc_offset",1,2,0.351851851851852,"perc_offset"
"303","dvywvnh6comawyk","perc_offset",2,1,0.253086419753086,"value_alt_offset"
"304","dvywvnh6comawyk","perc_offset",2,2,0.298353909465021,"value_alt_offset"
"305","dvywvnh6comawyk","perc_offset",3,1,0.0281213405313729,"value_alt_offset"
"306","dvywvnh6comawyk","perc_offset",3,2,0.106310013717421,"perc_offset"
"307","fehlcunq37bd57x","perc_offset",1,1,0.117283950617284,"value_alt_offset"
"308","fehlcunq37bd57x","perc_offset",1,2,0.216049382716049,"value_alt_offset"
"309","fehlcunq37bd57x","perc_offset",2,1,0.203551287913428,"value_alt_offset"
